
---------- Begin Simulation Statistics ----------
simSeconds                                   0.139811                       # Number of seconds simulated (Second)
simTicks                                 139811133644                       # Number of ticks simulated (Tick)
finalTick                                139811133644                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1243.22                       # Real time elapsed on the host (Second)
hostTickRate                                112459210                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8539448                       # Number of bytes of host memory used (Byte)
simInsts                                    238353454                       # Number of instructions simulated (Count)
simOps                                      241296188                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   191723                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     194090                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        293720870                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.231633                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.811930                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       251429486                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      513                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      250295464                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  15679                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10133810                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10556019                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 148                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           292962566                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.854360                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.924398                       # Number of insts issued each cycle (Count)
system.cpu.fetch.cacheLines                  73292335                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                235475                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples          292962566                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              0.898272                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             1.473497                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                200850395     68.56%     68.56% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                 12464666      4.25%     72.81% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                 30452329     10.39%     83.21% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                  6989847      2.39%     85.59% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                 42205329     14.41%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                4                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total            292962566                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts             259828023                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             0.884609                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches           14336630                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.048810                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles     74627056                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.icache.demandHits::cpu.inst       73250984                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total          73250984                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst      73250984                       # number of overall hits (Count)
system.cpu.icache.overallHits::total         73250984                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst        41351                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total           41351                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst        41351                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total          41351                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst   1339211240                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total   1339211240                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst   1339211240                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total   1339211240                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst     73292335                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total      73292335                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst     73292335                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total     73292335                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.000564                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.000564                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.000564                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.000564                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 32386.429349                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 32386.429349                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 32386.429349                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 32386.429349                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs         3310                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs           28                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs     118.214286                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.demandMshrHits::cpu.inst        11127                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total         11127                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst        11127                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total        11127                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst        30224                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total        30224                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst        30224                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total        30224                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst   1036744656                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total   1036744656                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst   1036744656                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total   1036744656                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.000412                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.000412                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.000412                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.000412                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 34302.033351                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 34302.033351                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 34302.033351                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 34302.033351                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                  29199                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst     73250984                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total        73250984                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst        41351                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total         41351                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst   1339211240                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total   1339211240                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst     73292335                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total     73292335                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.000564                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.000564                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 32386.429349                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 32386.429349                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst        11127                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total        11127                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst        30224                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total        30224                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst   1036744656                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total   1036744656                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.000412                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.000412                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 34302.033351                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 34302.033351                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED 139811133644                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.prefetcher.demandMshrMisses        30224                       # demands not covered by prefetchs (Count)
